feature,coefficient
cat__Insulin_Moderate,0.5130139950115348
cat__Diabetics_Moderate,0.3815323793279493
cat__Insulin_High,0.2692355680653884
cat__Diabetics_High,0.2600239831686077
num__Age,0.18913087516768715
num__Cholesterol,0.14228978762886713
cat__Blood Group_AB+,0.12303286705644847
cat__weather_Windy,0.1094865570083328
cat__ECG Result_Abnormal,0.09480507378319951
num__social_event_count,0.05771866430054397
cat__weather_Rainy,0.018997302852902336
num__Pulse Rate (bpm),0.018995079085331684
cat__City_Kansas City,0.014675558309608911
cat__State_Florida,0.014387485168781487
cat__City_Houston,0.005495338946401011
cat__Consultant Doctor Name_Dr.Brown,0.0029572954561757807
num__Weight,0.0022022837130143955
cat__Doctor Name_Dr.Brown,0.0009027069668201425
cat__Discharge Time_15:52:07,0.0
cat__Discharge Time_15:52:09,0.0
cat__Discharge Time_15:39:17,0.0
cat__Discharge Time_15:53:16,0.0
cat__Discharge Time_15:53:45,0.0
cat__Discharge Time_15:51:43,0.0
cat__Discharge Time_15:54:26,0.0
cat__Discharge Time_15:55:27,0.0
cat__Discharge Time_15:51:06,0.0
cat__Discharge Time_15:51:05,0.0
cat__Discharge Time_15:37:59,0.0
cat__Discharge Time_15:50:53,0.0
cat__Discharge Time_15:33:04,0.0
cat__Discharge Time_15:30:14,0.0
cat__Discharge Time_15:48:13,0.0
cat__Discharge Time_15:47:29,0.0
cat__Discharge Time_15:46:25,0.0
cat__Discharge Time_15:46:19,0.0
cat__Discharge Time_16:05:49,0.0
cat__Discharge Time_16:04:28,0.0
cat__Discharge Time_16:04:25,0.0
cat__Discharge Time_16:03:59,0.0
cat__Discharge Time_15:31:44,0.0
cat__Discharge Time_16:03:06,0.0
cat__Discharge Time_16:02:36,0.0
cat__Discharge Time_16:02:28,0.0
cat__Discharge Time_16:02:15,0.0
cat__Discharge Time_16:02:09,0.0
cat__Discharge Time_15:41:36,0.0
cat__Discharge Time_15:41:09,0.0
cat__Discharge Time_15:40:56,0.0
cat__Discharge Time_15:39:33,0.0
cat__Discharge Time_16:03:51,0.0
cat__Discharge Time_15:13:30,0.0
cat__Discharge Time_15:13:51,0.0
cat__Discharge Time_15:13:53,0.0
cat__Discharge Time_15:33:30,0.0
cat__Discharge Time_15:33:41,0.0
cat__Discharge Time_15:33:57,0.0
cat__Discharge Time_15:34:25,0.0
cat__Discharge Time_15:34:40,0.0
cat__Discharge Time_15:36:02,0.0
cat__Discharge Time_15:36:58,0.0
cat__Discharge Time_15:37:47,0.0
cat__Discharge Time_15:37:49,0.0
cat__Discharge Time_15:37:54,0.0
cat__Discharge Time_15:23:12,0.0
cat__Discharge Time_15:24:09,0.0
cat__Discharge Time_15:45:33,0.0
cat__Discharge Time_15:29:44,0.0
cat__Discharge Time_15:29:19,0.0
cat__Discharge Time_15:29:06,0.0
cat__Discharge Time_15:46:17,0.0
cat__Discharge Time_15:46:06,0.0
cat__Discharge Time_15:50:12,0.0
cat__Discharge Time_15:45:03,0.0
cat__Discharge Time_15:24:16,0.0
cat__Discharge Time_15:44:27,0.0
cat__Discharge Time_15:44:15,0.0
cat__Discharge Time_15:43:59,0.0
cat__Discharge Time_15:43:55,0.0
cat__Discharge Time_15:41:50,0.0
cat__Discharge Time_15:25:00,0.0
cat__Discharge Time_15:24:50,0.0
cat__Discharge Time_15:24:47,0.0
cat__Discharge Time_15:44:39,0.0
cat__Discharge Time_16:43:05,0.0
cat__Discharge Time_16:42:57,0.0
cat__Discharge Time_16:42:19,0.0
cat__Discharge Time_16:41:25,0.0
cat__Discharge Time_16:22:39,0.0
cat__Discharge Time_16:22:36,0.0
cat__Discharge Time_16:22:02,0.0
cat__Discharge Time_16:21:41,0.0
cat__Discharge Time_16:15:22,0.0
cat__Discharge Time_16:20:36,0.0
cat__Discharge Time_16:38:28,0.0
cat__Discharge Time_16:38:07,0.0
cat__Discharge Time_16:37:40,0.0
cat__Discharge Time_16:37:21,0.0
cat__Discharge Time_16:37:01,0.0
cat__Discharge Time_16:36:45,0.0
cat__Discharge Time_16:36:32,0.0
cat__Discharge Time_16:21:20,0.0
cat__Discharge Time_17:00:14,0.0
cat__Discharge Time_16:59:08,0.0
cat__Discharge Time_16:58:14,0.0
cat__Discharge Time_16:57:16,0.0
cat__Discharge Time_16:56:50,0.0
cat__Discharge Time_16:56:39,0.0
cat__Discharge Time_16:31:50,0.0
cat__Discharge Time_16:31:49,0.0
cat__Discharge Time_16:45:18,0.0
cat__Discharge Time_16:31:16,0.0
cat__Discharge Time_16:30:50,0.0
cat__Discharge Time_16:30:37,0.0
cat__Discharge Time_16:46:53,0.0
cat__Discharge Time_16:46:28,0.0
cat__Discharge Time_16:46:25,0.0
cat__Discharge Time_16:45:47,0.0
cat__Discharge Time_16:45:42,0.0
cat__Discharge Time_16:31:46,0.0
cat__Discharge Time_16:02:01,0.0
cat__Discharge Time_16:00:29,0.0
cat__Discharge Time_16:00:18,0.0
cat__Discharge Time_15:57:22,0.0
cat__Discharge Time_15:56:26,0.0
cat__Discharge Time_15:56:05,0.0
cat__Discharge Time_16:19:45,0.0
cat__Discharge Time_16:18:43,0.0
cat__Discharge Time_16:35:18,0.0
cat__Discharge Time_16:16:08,0.0
cat__Discharge Time_15:13:27,0.0
cat__Discharge Time_16:14:31,0.0
cat__Discharge Time_16:13:03,0.0
cat__Discharge Time_16:12:56,0.0
cat__Discharge Time_16:12:14,0.0
cat__Discharge Time_16:12:01,0.0
cat__Discharge Time_15:50:44,0.0
cat__Discharge Time_16:16:50,0.0
cat__Discharge Time_16:34:05,0.0
cat__Discharge Time_16:33:18,0.0
cat__Discharge Time_16:11:14,0.0
cat__Discharge Time_16:10:29,0.0
cat__Discharge Time_16:10:26,0.0
cat__Discharge Time_16:09:55,0.0
cat__Discharge Time_16:09:49,0.0
cat__Discharge Time_16:06:13,0.0
cat__Discharge Time_16:24:38,0.0
cat__Discharge Time_16:30:10,0.0
cat__Discharge Time_16:30:07,0.0
cat__Discharge Time_16:29:48,0.0
cat__Discharge Time_16:29:00,0.0
cat__Discharge Time_16:28:19,0.0
cat__Discharge Time_16:27:03,0.0
cat__Discharge Time_16:25:50,0.0
cat__Discharge Time_16:25:42,0.0
cat__Discharge Time_16:30:25,0.0
cat__Discharge Time_14:28:47,0.0
cat__Discharge Time_14:28:33,0.0
cat__Discharge Time_14:10:02,0.0
cat__Discharge Time_14:09:59,0.0
cat__Discharge Time_14:09:41,0.0
cat__Discharge Time_14:08:33,0.0
cat__Discharge Time_14:08:32,0.0
cat__Discharge Time_15:27:05,0.0
cat__Discharge Time_14:25:59,0.0
cat__Discharge Time_14:25:43,0.0
cat__Discharge Time_14:25:32,0.0
cat__Discharge Time_14:24:40,0.0
cat__Discharge Time_14:21:07,0.0
cat__Discharge Time_14:20:55,0.0
cat__Discharge Time_14:20:15,0.0
cat__Discharge Time_14:20:14,0.0
cat__Discharge Time_14:08:05,0.0
cat__Discharge Time_14:40:20,0.0
cat__Discharge Time_14:40:17,0.0
cat__Discharge Time_14:39:09,0.0
cat__Discharge Time_14:39:07,0.0
cat__Discharge Time_14:19:36,0.0
cat__Discharge Time_14:18:21,0.0
cat__Discharge Time_14:18:20,0.0
cat__Discharge Time_14:18:19,0.0
cat__Discharge Time_14:30:29,0.0
cat__Discharge Time_14:17:52,0.0
cat__Discharge Time_14:35:03,0.0
cat__Discharge Time_14:34:36,0.0
cat__Discharge Time_14:33:31,0.0
cat__Discharge Time_14:33:15,0.0
cat__Discharge Time_14:32:33,0.0
cat__Discharge Time_14:31:08,0.0
cat__Discharge Time_14:30:31,0.0
cat__Discharge Time_14:18:15,0.0
cat__Discharge Time_13:46:50,0.0
cat__Discharge Time_13:46:11,0.0
cat__Discharge Time_13:45:55,0.0
cat__Discharge Time_13:45:37,0.0
cat__Discharge Time_13:42:52,0.0
cat__Discharge Time_14:07:47,0.0
cat__Discharge Time_14:06:55,0.0
cat__Discharge Time_14:06:09,0.0
cat__Discharge Time_14:20:02,0.0
cat__Discharge Time_14:02:00,0.0
cat__Discharge Time_14:00:53,0.0
cat__Discharge Time_14:00:49,0.0
cat__Discharge Time_14:00:21,0.0
cat__Discharge Time_13:59:53,0.0
cat__Discharge Time_13:59:34,0.0
cat__Discharge Time_13:35:54,0.0
cat__Discharge Time_13:34:37,0.0
cat__Discharge Time_14:04:56,0.0
cat__Discharge Time_14:19:49,0.0
cat__Discharge Time_13:59:19,0.0
cat__Discharge Time_13:57:28,0.0
cat__Discharge Time_13:56:16,0.0
cat__Discharge Time_13:55:39,0.0
cat__Discharge Time_13:54:40,0.0
cat__Discharge Time_13:54:33,0.0
cat__Discharge Time_14:17:49,0.0
cat__Discharge Time_13:46:57,0.0
cat__Discharge Time_14:17:06,0.0
cat__Discharge Time_14:16:44,0.0
cat__Discharge Time_14:16:20,0.0
cat__Discharge Time_14:14:25,0.0
cat__Discharge Time_14:14:17,0.0
cat__Discharge Time_14:11:48,0.0
cat__Discharge Time_14:11:46,0.0
cat__Discharge Time_14:11:20,0.0
cat__Discharge Time_14:17:46,0.0
cat__Discharge Time_15:20:53,0.0
cat__Discharge Time_15:20:28,0.0
cat__Discharge Time_15:20:05,0.0
cat__Discharge Time_15:17:41,0.0
cat__Discharge Time_15:17:00,0.0
cat__Discharge Time_15:16:10,0.0
cat__Discharge Time_15:16:09,0.0
cat__Discharge Time_15:15:27,0.0
cat__Discharge Time_14:41:57,0.0
cat__Discharge Time_15:14:14,0.0
cat__Discharge Time_14:48:36,0.0
cat__Discharge Time_14:48:35,0.0
cat__Discharge Time_14:47:54,0.0
cat__Discharge Time_14:47:04,0.0
cat__Discharge Time_14:46:46,0.0
cat__Discharge Time_14:46:27,0.0
cat__Discharge Time_15:11:47,0.0
cat__Discharge Time_15:14:27,0.0
cat__Discharge Time_15:13:17,0.0
cat__Discharge Time_15:12:40,0.0
cat__Discharge Time_15:28:59,0.0
cat__Discharge Time_15:28:07,0.0
cat__Discharge Time_15:27:50,0.0
cat__Discharge Time_17:00:31,0.0
cat__Discharge Time_15:26:35,0.0
cat__Discharge Time_15:26:28,0.0
cat__Discharge Time_14:58:49,0.0
cat__Discharge Time_15:25:51,0.0
cat__Discharge Time_15:25:50,0.0
cat__Discharge Time_15:25:42,0.0
cat__Discharge Time_15:04:49,0.0
cat__Discharge Time_15:04:48,0.0
cat__Discharge Time_15:00:50,0.0
cat__Discharge Time_14:59:22,0.0
cat__Discharge Time_14:59:14,0.0
cat__Discharge Time_15:26:27,0.0
cat__Discharge Time_14:54:12,0.0
cat__Discharge Time_14:54:01,0.0
cat__Discharge Time_14:53:53,0.0
cat__Discharge Time_14:49:54,0.0
cat__Discharge Time_14:49:11,0.0
cat__Discharge Time_14:48:45,0.0
cat__Discharge Time_14:28:12,0.0
cat__Discharge Time_14:27:37,0.0
cat__Discharge Time_15:11:10,0.0
cat__Discharge Time_14:26:13,0.0
cat__Discharge Time_14:26:01,0.0
cat__Discharge Time_14:26:00,0.0
cat__Discharge Time_14:46:20,0.0
cat__Discharge Time_14:44:47,0.0
cat__Discharge Time_14:44:24,0.0
cat__Discharge Time_14:44:20,0.0
cat__Discharge Time_14:42:38,0.0
cat__Discharge Time_14:27:02,0.0
cat__Discharge Time_15:10:01,0.0
cat__Discharge Time_15:08:13,0.0
cat__Discharge Time_15:07:54,0.0
cat__Discharge Time_15:06:40,0.0
cat__Discharge Time_15:05:52,0.0
cat__Discharge Time_15:05:42,0.0
cat__Discharge Time_15:05:24,0.0
cat__Discharge Time_15:04:51,0.0
cat__Discharge Time_14:55:30,0.0
cat__Discharge Time_14:38:38,0.0
cat__Discharge Time_14:38:17,0.0
cat__Discharge Time_14:38:09,0.0
cat__Discharge Time_14:37:20,0.0
cat__Discharge Time_14:35:04,0.0
cat__Discharge Time_14:58:09,0.0
cat__Discharge Time_14:56:59,0.0
cat__Discharge Time_14:55:42,0.0
cat__Discharge Time_14:38:52,0.0
cat__Discharge Time_19:08:30,0.0
cat__Discharge Time_19:08:25,0.0
cat__Discharge Time_19:22:21,0.0
cat__Discharge Time_19:20:49,0.0
cat__Discharge Time_19:20:40,0.0
cat__Discharge Time_19:20:22,0.0
cat__Discharge Time_19:19:39,0.0
cat__Discharge Time_19:19:23,0.0
cat__Discharge Time_16:40:16,0.0
cat__Discharge Time_19:18:57,0.0
cat__Discharge Time_19:18:29,0.0
cat__Discharge Time_19:17:46,0.0
cat__Discharge Time_19:01:02,0.0
cat__Discharge Time_18:58:26,0.0
cat__Discharge Time_18:58:19,0.0
cat__Discharge Time_18:57:55,0.0
cat__Discharge Time_18:56:56,0.0
cat__Discharge Time_19:19:09,0.0
cat__Discharge Time_19:16:44,0.0
cat__Discharge Time_19:16:43,0.0
cat__Discharge Time_19:15:48,0.0
cat__Discharge Time_19:15:30,0.0
cat__Discharge Time_19:32:43,0.0
cat__Discharge Time_19:32:31,0.0
cat__Discharge Time_19:31:59,0.0
cat__Discharge Time_19:31:23,0.0
cat__Discharge Time_19:08:53,0.0
cat__Discharge Time_19:29:59,0.0
cat__Discharge Time_19:29:36,0.0
cat__Discharge Time_19:29:11,0.0
cat__Discharge Time_19:29:04,0.0
cat__Discharge Time_19:28:35,0.0
cat__Discharge Time_19:10:41,0.0
cat__Discharge Time_19:10:25,0.0
cat__Discharge Time_19:09:35,0.0
cat__Discharge Time_19:30:46,0.0
cat__Discharge Time_19:03:57,0.0
cat__Discharge Time_19:02:58,0.0
cat__Discharge Time_19:02:55,0.0
cat__Discharge Time_19:02:46,0.0
cat__Discharge Time_19:02:15,0.0
cat__Discharge Time_19:02:09,0.0
cat__Discharge Time_19:02:06,0.0
cat__Discharge Time_19:01:39,0.0
cat__Discharge Time_18:56:49,0.0
cat__Discharge Time_18:40:54,0.0
cat__Discharge Time_18:37:31,0.0
cat__Discharge Time_18:36:26,0.0
cat__Discharge Time_18:36:07,0.0
cat__Discharge Time_18:35:22,0.0
cat__Discharge Time_18:56:37,0.0
cat__Discharge Time_18:56:27,0.0
cat__Discharge Time_18:54:18,0.0
cat__Discharge Time_18:41:15,0.0
cat__Discharge Time_19:14:23,0.0
cat__Discharge Time_19:13:44,0.0
cat__Discharge Time_19:13:26,0.0
cat__Discharge Time_19:13:13,0.0
cat__Discharge Time_19:13:07,0.0
cat__Discharge Time_19:12:50,0.0
cat__Discharge Time_19:12:48,0.0
cat__Discharge Time_19:11:54,0.0
cat__Discharge Time_19:04:04,0.0
cat__Discharge Time_19:10:46,0.0
cat__Discharge Time_18:49:44,0.0
cat__Discharge Time_18:49:37,0.0
cat__Discharge Time_18:49:08,0.0
cat__Discharge Time_18:49:07,0.0
cat__Discharge Time_18:49:01,0.0
cat__Discharge Time_18:48:47,0.0
cat__Discharge Time_19:05:44,0.0
cat__Discharge Time_19:11:17,0.0
cat__Discharge Time_20:15:53,0.0
cat__Discharge Time_20:15:35,0.0
cat__Discharge Time_20:14:26,0.0
cat__Discharge Time_20:14:05,0.0
cat__Discharge Time_19:52:16,0.0
cat__Discharge Time_19:51:21,0.0
cat__Discharge Time_19:50:21,0.0
cat__Discharge Time_19:50:13,0.0
cat__Discharge Time_19:16:52,0.0
cat__Discharge Time_19:46:50,0.0
cat__Discharge Time_20:10:52,0.0
cat__Discharge Time_20:10:49,0.0
cat__Discharge Time_20:10:44,0.0
cat__Discharge Time_20:10:16,0.0
cat__Discharge Time_20:10:06,0.0
cat__Discharge Time_20:09:53,0.0
cat__Discharge Time_20:08:19,0.0
